BusinessDay;PromotionID;PromotionName;PromotionMinBusinessDay;PromotionMaxBusinessDay;GuestCountTotal;GuestCountFranchise;GuestCountMcOpCo;GrossAmount;NetSalesAmountAfterDiscount;UnitsSold;AvgFPCostAvg;NetSalesAmount;FPCost;StoreCountFranchise;StoreCountMcOpCo;StoreCountTotal
2018-08-27;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;9060;8091;969;65016,350;15428,202;9060;,920;19922,470;8341,996;1366;118;1484
2018-08-27;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;3;3;0;13,340;5,016;3;,926;6,480;2,778;1366;118;1484
2018-08-28;1009;Big Mac nur 1,99€  Lass es dir schmecken!;2018-08-28 00:00:00;2018-09-02 00:00:00;4;4;0;30,210;7,440;4;,698;14,916;2,792;1366;118;1484
2018-08-28;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;2;2;0;3,980;3,720;2;,797;8,018;1,594;1366;118;1484
2018-08-28;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;4063;3627;436;29078,940;6919,435;4063;,921;8945,932;3744,760;1366;118;1484
2018-08-28;229;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-23 00:00:00;2018-08-31 00:00:00;1;1;0;2,990;1,740;1;,926;2,247;,926;1366;118;1484
2018-08-29;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;3699;3321;378;28065,370;6306,787;3699;,920;8152,715;3404,077;1366;118;1484
2018-08-29;1005;Sarah Sammelpass  Stempel sammeln;2018-08-29 00:00:00;2018-08-29 00:00:00;1;0;1;,000;,000;0;,000;,000;,000;1366;118;1484
2018-08-30;1003;Chickenburger + Lipton Ice Tea Peach 0,25l + Sonnenbrille Nur 1,99€;2018-08-13 00:00:00;2018-09-01 00:00:00;5576;4988;588;41685,670;9496,690;5576;,921;12245,896;5136,492;1366;118;1484
2018-08-30;1010;Hamburger Royal TS® oder McRib® Nur je 1,99€;2018-08-28 00:00:00;2018-09-03 00:00:00;4;4;0;16,640;7,064;4;,716;14,500;2,864;1366;118;1484
