SaleId|OfferId|ProductCode|Quantity
POS0025:546151279|0|7101|1
POS0025:546151279|500005272|1|1
POS0025:546151279|500005272|1|1
POS0025:546151279|500005272|2|1
POS0025:546151279|500005272|2|1
POS0025:546151279|500005272|2|1
POS0025:546151278|0|2023|3
POS0005:874875180|0|21|1
POS0005:874875180|500005275|12|1
POS0005:874875180|500005275|12|1
POS0005:874875179|0|5164|1
POS0005:874875179|0|5679|1
POS0005:874875179|0|5449|1
POS0005:874875179|0|12|1
POS0005:874875179|500005285|5092|1
POS0005:874875179|500005285|4900|1
POS0005:874875178|500005752|2|1
POS0005:874875178|500005752|7201|1
POS0005:874875177|0|801|1
POS0005:874875177|0|2|2
